파일	줄	문장 앞 60자	종류(rule|claim|evidence|connective|other)	Why 있음(예/아니오)	근거 경로(있으면)	판정(keep|rewrite|delete)	이유
AGENTS.md	1	# 세션 지침	other	아니오		keep	문서 제목이다.
AGENTS.md	3	여러 트랙을 한 자리에서 굴리고 세션은 무한히 이어지며 컨텍스트는 주기적으로 압축된다.	evidence	예	README.md:3	keep	상시 규약이 필요한 운영 조건을 설명한다.
AGENTS.md	3	이 워크스페이스는 코드베이스가 아니라 작업 저장소다.	evidence	예	README.md:3	keep	워크스페이스의 역할을 정의한다.
AGENTS.md	4	아래 일곱 개는 그 조건에서 실측으로 값을 증명한 규약이다.	claim	예	AGENTS.md:23;AGENTS.md:31;AGENTS.md:36;AGENTS.md:40;AGENTS.md:44;AGENTS.md:49;AGENTS.md:52	keep	각 코어에 Why가 붙어 있다는 자체 근거가 있다.
AGENTS.md	7	인스턴스 고유 규약은 `system/instance-rules.md`에 있다.	rule	예	AGENTS.md:10	keep	업스트림 엔진과 로컬 인스턴스 파일을 분리한다.
AGENTS.md	8	`templates/instance-rules.md`를 복사해서 채워라.	rule	예	templates/instance-rules.md:1	keep	인스턴스 규약 생성 경로를 제공한다.
AGENTS.md	8	없으면 아직 안 쓴 것이다.	evidence	예	system/instance-rules.md:1	keep	미작성 템플릿 상태의 의미를 명시한다.
AGENTS.md	10	엔진 파일과 인스턴스 파일은 쌍을 이룬다.	rule	예	AGENTS.md:10	keep	pull 덮어쓰기와 로컬 안전성의 차이를 관리한다.
AGENTS.md	10	왼쪽은 `git pull`이 덮으므로 고치지 않는다.	rule	예	AGENTS.md:10	keep	업스트림 갱신 시 변경 유실과 충돌을 막는다.
AGENTS.md	11	오른쪽은 git 밖이라 안전하다.	evidence	예	.gitignore:41;.gitignore:45;.gitignore:46	keep	세 인스턴스 파일의 무시 규칙을 확인할 수 있다.
AGENTS.md	11	왼쪽에 뭔가 쓰고 싶으면 오른쪽에 써라.	rule	예	AGENTS.md:10	keep	업스트림 덮어쓰기에서 인스턴스 변경을 보호한다.
AGENTS.md	13	엔진과 인스턴스 파일 대응표	other	예	.gitignore:41;.gitignore:45;.gitignore:46	keep	세 쌍의 소유 위치를 한눈에 대응시킨다.
AGENTS.md	19	## 상시 코어, 이 7개만 항상 유효	connective	예	paper:2608.12426	keep	상시 지시 예산과 Why 요구를 제목에 선언한다.
